,Date,Open,High,Low,Close,Adj Close,Volume
3176,"Dec 17, 2015",454.78,457.86,448.86,456.08,456.08,"47,978,400"
3177,"Dec 16, 2015",465.21,465.21,443.85,454.93,454.93,"107,944,000"
3178,"Dec 15, 2015",443.88,465.32,443.88,465.32,465.32,"83,121,104"
3179,"Dec 14, 2015",433.27,447.14,430.46,444.18,444.18,"130,496,000"
3180,"Dec 13, 2015",431.66,441.68,426.27,433.76,433.76,"55,050,600"
3181,"Dec 12, 2015",452.33,469.10,410.74,435.00,435.00,"131,969,000"
3182,"Dec 11, 2015",415.28,451.94,415.28,451.94,451.94,"110,944,000"
3183,"Dec 10, 2015",417.99,419.51,411.55,415.48,415.48,"52,138,900"
3184,"Dec 9, 2015",414.44,423.12,406.29,417.56,417.56,"90,917,200"
3185,"Dec 8, 2015",395.75,415.56,389.95,415.56,415.56,"57,801,400"
3186,"Dec 7, 2015",389.98,399.97,385.41,395.54,395.54,"63,455,800"
3187,"Dec 6, 2015",389.55,402.81,387.09,388.78,388.78,"77,762,000"
3188,"Dec 5, 2015",363.72,389.79,363.23,388.95,388.95,"66,282,200"
3189,"Dec 4, 2015",361.26,363.52,355.76,363.18,363.18,"35,784,100"
3190,"Dec 3, 2015",359.33,370.27,357.41,361.05,361.05,"50,714,900"
3191,"Dec 2, 2015",361.85,362.23,349.46,359.19,359.19,"54,160,500"
3192,"Dec 1, 2015",377.41,378.93,356.56,362.49,362.49,"60,452,200"
3193,"Nov 30, 2015",371.44,382.36,370.38,377.32,377.32,"71,701,600"
3194,"Nov 29, 2015",357.47,371.94,355.67,371.29,371.29,"40,409,300"
3195,"Nov 28, 2015",357.14,359.54,352.17,357.38,357.38,"36,816,600"
3196,"Nov 27, 2015",351.86,363.59,347.87,358.04,358.04,"55,179,100"
3197,"Nov 26, 2015",328.30,366.76,328.23,352.68,352.68,"106,105,000"
3198,"Nov 25, 2015",320.05,329.13,316.77,328.21,328.21,"41,666,900"
3199,"Nov 24, 2015",323.01,323.06,318.12,320.05,320.05,"29,362,600"
3200,"Nov 23, 2015",324.35,325.12,321.29,323.05,323.05,"27,478,900"
3201,"Nov 22, 2015",326.98,327.01,321.26,324.54,324.54,"23,439,400"
3202,"Nov 21, 2015",322.09,328.16,319.60,326.93,326.93,"28,200,500"
3203,"Nov 20, 2015",326.41,326.47,312.22,322.02,322.02,"53,152,900"
3204,"Nov 19, 2015",334.68,335.33,325.27,326.15,326.15,"45,011,100"
3205,"Nov 18, 2015",334.59,336.53,330.64,334.59,334.59,"43,783,800"
3206,"Nov 17, 2015",330.36,338.35,329.61,335.09,335.09,"51,001,600"
3207,"Nov 16, 2015",319.73,331.63,315.90,330.75,330.75,"47,980,100"
3208,"Nov 15, 2015",333.05,334.66,317.49,320.17,320.17,"44,213,100"
3209,"Nov 14, 2015",336.62,338.18,329.97,332.91,332.91,"38,612,000"
3210,"Nov 13, 2015",338.50,340.91,326.08,336.75,336.75,"52,003,000"
3211,"Nov 12, 2015",314.08,345.08,313.36,338.15,338.15,"78,477,800"
3212,"Nov 11, 2015",339.82,340.58,301.00,311.08,311.08,"107,070,000"
3213,"Nov 10, 2015",379.98,381.39,329.11,336.82,336.82,"95,797,904"
3214,"Nov 9, 2015",374.32,385.28,362.89,380.26,380.26,"68,224,400"
3215,"Nov 8, 2015",384.28,389.89,368.70,373.37,373.37,"51,817,600"
3216,"Nov 7, 2015",374.27,390.59,372.43,386.48,386.48,"56,625,100"
