Open,High,Low,Close,Volume,Change
235.95,236.93,222.0,224.59,31181800,-4.9
224.76,224.98,216.32,219.16,31719000,-2.42
219.07,223.83,218.65,223.83,22562000,2.13
223.92,229.67,223.92,228.57,24805400,2.12
228.57,228.91,221.94,222.88,20429800,-2.49
222.85,224.32,220.88,223.36,12939000,0.22
223.46,226.35,222.37,222.6,15021500,-0.34
222.61,226.35,221.98,224.63,18364700,0.91
224.62,235.27,224.3,235.27,24978000,4.74
235.6,237.91,233.48,234.18,23847900,-0.46
234.05,236.48,233.2,236.46,17036000,0.97
235.97,236.3,229.93,231.27,21448700,-2.19
231.24,232.56,226.34,226.39,13957200,-2.11
226.41,226.94,214.87,219.43,28943700,-3.07
219.43,233.3,218.02,229.29,38574000,4.49
228.97,229.49,223.07,225.85,21469200,-1.5
225.59,227.04,223.43,225.81,18936500,-0.02
225.69,239.56,224.99,236.15,33818600,4.58
235.94,238.97,232.08,232.08,18815300,-1.72
232.34,235.73,232.34,234.93,12535500,1.23
234.88,243.24,234.08,240.36,18494100,2.31
240.36,242.64,237.81,239.02,21223400,-0.56
238.85,239.2,232.05,236.12,23929100,-1.21
236.25,236.45,229.23,229.78,29587200,-2.69
229.66,239.1,228.57,237.33,29064400,3.29
237.2,246.27,236.27,243.86,27445500,2.75
243.77,247.8,239.64,241.83,19790500,-0.83
241.73,244.07,238.85,240.3,15019100,-0.63
240.3,244.27,239.38,242.16,20892300,0.77
242.15,242.88,240.1,241.11,19282600,-0.43
241.4,243.7,235.04,236.38,27180100,-1.96
236.21,237.8,234.06,236.93,24413700,0.23
236.96,238.75,236.79,237.6,16329400,0.28
237.64,237.7,235.29,236.15,11089700,-0.61
236.01,238.02,236.01,236.8,11134300,0.28
236.89,237.21,232.46,233.13,16780300,-1.55
233.04,234.15,231.82,231.95,14241900,-0.51
231.89,234.68,231.84,234.02,15499400,0.89
234.02,236.24,233.84,235.34,15108900,0.56
235.32,240.97,235.06,240.35,27003000,2.13
240.29,241.02,238.69,238.87,14605000,-0.62
238.98,241.98,238.81,240.95,11508000,0.87
240.93,241.02,236.64,237.11,14423900,-1.59
237.1,238.24,235.69,237.12,16425000,0.0
237.07,238.64,236.7,237.28,18837000,0.07
237.26,237.82,236.65,237.41,13829600,0.05
237.38,237.52,235.73,237.1,14805000,-0.13
237.09,237.09,232.05,233.35,14098600,-1.58
233.13,233.25,229.54,230.19,14730800,-1.35
230.23,231.71,221.3,222.93,26090500,-3.15
222.89,226.42,222.42,225.8,20459000,1.29
225.74,227.4,223.93,225.87,17752400,0.03
225.77,226.58,224.05,224.32,14728100,-0.69
224.15,225.97,223.18,224.95,18056500,0.28
225.01,225.72,224.38,225.62,11131500,0.3
225.6,226.19,222.65,222.88,13318400,-1.21
222.88,229.46,222.84,228.49,23378400,2.52
228.54,230.95,227.93,229.05,28353100,0.25
228.99,229.78,228.01,228.8,15904800,-0.11
228.85,230.29,228.77,229.71,14416000,0.4
229.71,231.06,229.31,229.98,14017700,0.12
229.92,232.65,229.21,232.4,13305300,1.05
232.44,234.86,232.0,233.54,12165900,0.49
233.42,237.84,233.42,236.82,19912100,1.4
236.76,251.74,236.12,250.9,41612000,5.95
250.82,256.85,246.48,249.28,43858400,-0.65
249.43,252.11,244.13,249.01,30980200,-0.11
249.04,250.98,243.79,244.61,23965300,-1.77
244.53,245.83,240.63,245.21,20608100,0.25
245.1,245.22,241.88,243.94,10600900,-0.52
243.97,247.92,243.78,246.99,17692500,1.25
246.93,247.3,243.13,244.3,15108700,-1.09
244.28,244.34,240.51,240.51,17344900,-1.55
240.37,243.33,240.37,242.8,16133100,0.95
242.6,243.75,241.55,243.59,13983500,0.33
243.55,251.34,243.12,250.99,20488600,3.04
250.96,251.17,247.43,249.01,15137600,-0.79
248.72,257.17,248.58,257.06,34742900,3.23
257.04,267.87,255.95,263.07,44533800,2.34
263.35,265.17,255.77,258.62,27029800,-1.69
258.55,261.63,254.12,255.41,21551900,-1.24
255.46,257.08,253.51,256.34,19033800,0.36
256.49,261.46,254.2,260.89,15620400,1.77
260.8,274.51,258.7,271.91,44156100,4.22
271.11,277.42,267.6,269.03,49154800,-1.06
269.96,271.34,264.83,266.21,28857600,-1.05
265.98,272.97,264.39,270.79,36980200,1.72
270.83,272.33,267.09,269.23,40301200,-0.58
269.16,294.59,268.8,284.89,100390000,5.82
284.88,298.51,283.53,293.11,41109900,2.89
293.14,314.39,292.51,310.87,56405000,6.06
310.83,310.95,281.01,292.05,62053900,-6.05
292.03,296.15,286.64,287.46,28727200,-1.57
288.05,293.25,285.37,285.83,27486600,-0.57
286.04,291.18,275.24,278.09,49482600,-2.71
278.09,280.28,272.04,279.47,27591400,0.5
279.33,282.53,274.08,274.9,25187100,-1.64
274.77,275.67,272.51,273.61,15332500,-0.47
273.5,278.98,272.96,278.98,22711400,1.96
278.88,280.55,275.42,275.83,22930700,-1.13
275.66,277.67,274.38,277.22,19389800,0.5
277.34,278.11,275.72,276.05,18531300,-0.42
276.01,289.25,275.25,288.28,37199400,4.43
288.16,290.73,286.0,288.7,20662200,0.15
288.64,293.05,287.71,292.69,16032300,1.38
292.64,297.77,287.45,293.62,30592000,0.32
293.63,296.65,293.42,294.43,25453600,0.28
294.48,294.54,288.78,289.59,24672600,-1.64
289.1,290.13,286.57,287.72,21635800,-0.65
287.7,288.96,282.34,284.65,23629100,-1.07
284.69,284.93,278.11,281.6,18995000,-1.07
280.45,283.03,277.53,282.61,17722200,0.36
282.81,285.47,280.23,281.23,21474100,-0.49
281.23,285.71,281.23,285.22,21908700,1.42
284.85,285.5,281.49,281.88,20128000,-1.17
281.91,281.91,278.4,278.58,18792100,-1.17
278.74,280.39,276.37,279.58,42484800,0.36
279.74,279.93,260.71,261.0,58533000,-6.65
261.12,267.0,260.47,265.08,23789600,1.56
265.48,267.03,262.6,264.47,20979400,-0.23
264.34,270.39,264.09,270.39,25433900,2.24
270.6,270.67,265.47,266.38,26815400,-1.48
